"Time","Agg_gdp","Agg_pce","GS1","GS2","ebp","gz_spread","MP_jk","CBI_jk","MP_brw","MP_bs","lgdp","lpce","gdp_growth","inflation"
"1947Q1",2182.681,NA,NA,NA,NA,NA,0,0,0,0,7.68830921669201,NA,NA,NA
"1947Q2",2176.892,NA,NA,NA,NA,NA,0,0,0,0,7.68565345044952,NA,-0.00265576624248798,NA
"1947Q3",2172.432,NA,NA,NA,NA,NA,0,0,0,0,7.68360255630446,NA,-0.00205089414506343,NA
"1947Q4",2206.452,NA,NA,NA,NA,NA,0,0,0,0,7.69914107456408,NA,0.0155385182596204,NA
"1948Q1",2239.682,NA,NA,NA,NA,NA,0,0,0,0,7.71408917048549,NA,0.0149480959214117,NA
"1948Q2",2276.69,NA,NA,NA,NA,NA,0,0,0,0,7.73047791274611,NA,0.016388742260621,NA
"1948Q3",2289.77,NA,NA,NA,NA,NA,0,0,0,0,7.73620665482296,NA,0.00572874207685192,NA
"1948Q4",2292.364,NA,NA,NA,NA,NA,0,0,0,0,7.73733887848866,NA,0.00113222366570298,NA
"1949Q1",2260.807,NA,NA,NA,NA,NA,0,0,0,0,7.72347710817458,NA,-0.0138617703140795,NA
"1949Q2",2253.128,NA,NA,NA,NA,NA,0,0,0,0,7.72007475195648,NA,-0.00340235621810692,NA
"1949Q3",2276.424,NA,NA,NA,NA,NA,0,0,0,0,7.73036106963596,NA,0.010286317679487,NA
"1949Q4",2257.352,NA,NA,NA,NA,NA,0,0,0,0,7.72194772389508,NA,-0.00841334574088037,NA
"1950Q1",2346.104,NA,NA,NA,NA,NA,0,0,0,0,7.76051135900663,NA,0.0385636351115446,NA
"1950Q2",2417.682,NA,NA,NA,NA,NA,0,0,0,0,7.79056450887842,NA,0.0300531498717884,NA
"1950Q3",2511.127,NA,NA,NA,NA,NA,0,0,0,0,7.82848693533777,NA,0.0379224264593505,NA
"1950Q4",2559.214,NA,NA,NA,NA,NA,0,0,0,0,7.84745545907986,NA,0.018968523742096,NA
"1951Q1",2593.967,NA,NA,NA,NA,NA,0,0,0,0,7.86094364313009,NA,0.0134881840502228,NA
"1951Q2",2638.898,NA,NA,NA,NA,NA,0,0,0,0,7.87811668475219,NA,0.0171730416221001,NA
"1951Q3",2693.259,NA,NA,NA,NA,NA,0,0,0,0,7.89850726345627,NA,0.0203905787040837,NA
"1951Q4",2699.156,NA,NA,NA,NA,NA,0,0,0,0,7.90069441053258,NA,0.00218714707630863,NA
"1952Q1",2727.954,NA,NA,NA,NA,NA,0,0,0,0,7.9113071566511,NA,0.0106127461185173,NA
"1952Q2",2733.8,NA,NA,NA,NA,NA,0,0,0,0,7.91344786171855,NA,0.00214070506745667,NA
"1952Q3",2753.517,NA,NA,NA,NA,NA,0,0,0,0,7.92063428264389,NA,0.00718642092533806,NA
"1952Q4",2843.941,NA,NA,NA,NA,NA,0,0,0,0,7.95294604527897,NA,0.0323117626350777,NA
"1953Q1",2896.811,NA,NA,NA,NA,NA,0,0,0,0,7.97136575573779,NA,0.0184197104588186,NA
"1953Q2",2919.206,NA,2.43,NA,NA,NA,0,0,0,0,7.97906694047776,NA,0.00770118473997083,NA
"1953Q3",2902.785,NA,2.28666666666667,NA,NA,NA,0,0,0,0,7.97342589996607,NA,-0.00564104051168357,NA
"1953Q4",2858.845,NA,1.70666666666667,NA,NA,NA,0,0,0,0,7.95817297609223,NA,-0.0152529238738417,NA
"1954Q1",2845.192,NA,1.22666666666667,NA,NA,NA,0,0,0,0,7.95338583110228,NA,-0.0047871449899537,NA
"1954Q2",2848.305,NA,0.876666666666667,NA,NA,NA,0,0,0,0,7.95447935949448,NA,0.00109352839220289,NA
"1954Q3",2880.482,NA,0.916666666666667,NA,NA,NA,0,0,0,0,7.96571292023779,NA,0.0112335607433121,NA
"1954Q4",2936.852,NA,1.17333333333333,NA,NA,NA,0,0,0,0,7.98509353837291,NA,0.019380618135119,NA
"1955Q1",3020.746,NA,1.51666666666667,NA,NA,NA,0,0,0,0,8.01325909973208,NA,0.0281655613591667,NA
"1955Q2",3069.91,NA,1.85333333333333,NA,NA,NA,0,0,0,0,8.02940352419061,NA,0.0161444244585294,NA
"1955Q3",3111.379,NA,2.25,NA,NA,NA,0,0,0,0,8.04282131525697,NA,0.0134177910663613,NA
"1955Q4",3130.068,NA,2.53333333333333,NA,NA,NA,0,0,0,0,8.04881000853783,NA,0.00598869328085527,NA
"1956Q1",3117.922,NA,2.56,NA,NA,NA,0,0,0,0,8.04492203326889,NA,-0.00388797526893114,NA
"1956Q2",3143.694,NA,2.86666666666667,NA,NA,NA,0,0,0,0,8.05315382056812,NA,0.00823178729922702,NA
"1956Q3",3140.874,NA,3.07,NA,NA,NA,0,0,0,0,8.05225638412085,NA,-0.000897436447267808,NA
"1956Q4",3192.57,NA,3.46666666666667,NA,NA,NA,0,0,0,0,8.06858151405629,NA,0.0163251299354368,NA
"1957Q1",3213.011,NA,3.39,NA,NA,NA,0,0,0,0,8.07496378270166,NA,0.00638226864536584,NA
"1957Q2",3205.97,NA,3.54,NA,NA,NA,0,0,0,0,8.07276997567094,NA,-0.00219380703071259,NA
"1957Q3",3237.386,NA,3.96333333333333,NA,NA,NA,0,0,0,0,8.08252149303261,NA,0.00975151736166779,NA
"1957Q4",3203.894,NA,3.58666666666667,NA,NA,NA,0,0,0,0,8.07212222399553,NA,-0.010399269037082,NA
"1958Q1",3120.724,NA,2.16,NA,NA,NA,0,0,0,0,8.04582030516585,NA,-0.0263019188296845,NA
"1958Q2",3141.224,NA,1.35,NA,NA,NA,0,0,0,0,8.05236781186374,NA,0.00654750669789372,NA
"1958Q3",3213.884,NA,2.38666666666667,NA,NA,NA,0,0,0,0,8.07523545354905,NA,0.0228676416853073,NA
"1958Q4",3289.032,NA,3.19333333333333,NA,NA,NA,0,0,0,0,8.09834857554276,NA,0.0231131219937133,NA
"1959Q1",3352.129,15.515,3.50333333333333,NA,NA,NA,0,0,0,0,8.11735094534834,2.74180729790034,0.0190023698055786,NA
"1959Q2",3427.667,15.598,3.91666666666667,NA,NA,NA,0,0,0,0,8.13963513380896,2.74714270090831,0.0222841884606222,0.00533540300796265
"1959Q3",3430.057,15.702,4.60333333333333,NA,NA,NA,0,0,0,0,8.14033215809771,2.75378809277606,0.000697024288747627,0.00664539186775759
"1959Q4",3439.832,15.792,4.91666666666667,NA,NA,NA,0,0,0,0,8.14317791196557,2.75950348269113,0.00284575386785768,0.00571538991506193
"1960Q1",3517.181,15.842,4.57,NA,NA,NA,0,0,0,0,8.16541509546592,2.76266464104209,0.0222371835003532,0.00316115835096209
"1960Q2",3498.246,15.902,3.87,NA,NA,NA,0,0,0,0,8.16001697900631,2.76644488747929,-0.00539811645960775,0.00378024643720387
"1960Q3",3515.385,15.965,3.07333333333333,NA,NA,NA,0,0,0,0,8.16490432882994,2.77039882616675,0.00488734982363326,0.00395393868745364
"1960Q4",3470.278,16.017,2.99333333333333,NA,NA,NA,0,0,0,0,8.15198998500562,2.77365065818616,-0.0129143438243222,0.00325183201941348
"1961Q1",3493.703,16.044,2.87333333333333,NA,NA,NA,0,0,0,0,8.158717484219,2.77533494790781,0.00672749921338145,0.00168428972164758
"1961Q2",3553.021,16.097,2.93666666666667,NA,NA,NA,0,0,0,0,8.17555350650173,2.77863291922409,0.0168360222827264,0.00329797131628595
"1961Q3",3621.252,16.167,3.01333333333333,NA,NA,NA,0,0,0,0,8.19457510137889,2.78297212761947,0.0190215948771559,0.00433920839537683
"1961Q4",3692.289,16.206,3.1,NA,NA,NA,0,0,0,0,8.21400186991568,2.78538154403853,0.0194267685367908,0.00240941641906423
"1962Q1",3758.147,16.266,3.20666666666667,NA,NA,NA,0,0,0,0,8.23168129575973,2.78907703974458,0.017679425844058,0.00369549570604999
"1962Q2",3792.149,16.328,3.01666666666667,NA,NA,NA,0,0,0,0,8.2406881558519,2.79288142550754,0.00900686009216223,0.00380438576296038
"1962Q3",3838.776,16.382,3.18333333333333,NA,NA,NA,0,0,0,0,8.25290884477019,2.79618317109341,0.0122206889182959,0.00330174558586638
"1962Q4",3851.421,16.413,2.99666666666667,NA,NA,NA,0,0,0,0,8.25619745009363,2.7980737037498,0.00328860532343356,0.00189053265638828
"1963Q1",3893.482,16.467,3.02666666666667,NA,NA,NA,0,0,0,0,8.26705915191659,2.80135837823586,0.0108617018229626,0.00328467448606329
"1963Q2",3937.183,16.529,3.14333333333333,NA,NA,NA,0,0,0,0,8.27822077195644,2.80511641393522,0.0111616200398537,0.00375803569935451
"1963Q3",4023.755,16.593,3.52666666666667,NA,NA,NA,0,0,0,0,8.29997082523418,2.80898091968065,0.021750053277735,0.00386450574543451
"1963Q4",4050.147,16.673,3.73,NA,NA,NA,0,0,0,0,8.30650845573819,2.81379064457832,0.00653763050400791,0.00480972489767106
"1964Q1",4135.553,16.744,3.82666666666667,NA,NA,NA,0,0,0,0,8.32737633491249,2.8180399851437,0.0208678791743058,0.00424934056537696
"1964Q2",4180.592,16.793,3.86,NA,NA,NA,0,0,0,0,8.33820814228493,2.82096213291287,0.0108318073724405,0.00292214776917188
"1964Q3",4245.918,16.84,3.76666666666667,NA,NA,NA,0,0,0,0,8.35371332978279,2.82375700881418,0.01550518749786,0.00279487590130989
"1964Q4",4259.046,16.883,3.93,NA,NA,NA,0,0,0,0,8.35680047052232,2.82630719849506,0.00308714073952565,0.00255018968087617
"1965Q1",4362.111,16.947,4.01,NA,NA,NA,0,0,0,0,8.38071139348044,2.83009082701123,0.0239109229581267,0.00378362851617808
"1965Q2",4417.225,16.999,4.02,NA,NA,NA,0,0,0,0,8.39326694985088,2.83315451879663,0.0125555563704385,0.00306369178539789
"1965Q3",4515.427,17.052,4.08333333333333,NA,NA,NA,0,0,0,0,8.41525503502269,2.83626749890296,0.0219880851718077,0.00311298010633099
"1965Q4",4619.458,17.109,4.46333333333333,NA,NA,NA,0,0,0,0,8.43803266117641,2.83960464084251,0.0227776261537151,0.00333714193954782
"1966Q1",4731.888,17.194,4.93,NA,NA,NA,0,0,0,0,8.46207955617912,2.84456048575225,0.0240468950027122,0.00495584490974066
"1966Q2",4748.046,17.334,4.93333333333333,NA,NA,NA,0,0,0,0,8.46548844397243,2.85266989071215,0.0034088877933165,0.00810940495990087
"1966Q3",4788.254,17.477,5.51,NA,NA,NA,0,0,0,0,8.47392111456069,2.86088573078422,0.00843267058825603,0.00821584007207088
"1966Q4",4827.537,17.628,5.44,NA,NA,NA,0,0,0,0,8.48209167869588,2.86948854697974,0.00817056413518635,0.00860281619551673
"1967Q1",4870.299,17.725,4.60333333333333,NA,NA,NA,0,0,0,0,8.49091061049586,2.87497607241819,0.0088189317999845,0.00548752543845055
"1967Q2",4873.287,17.844,4.24666666666667,NA,NA,NA,0,0,0,0,8.49152393706652,2.88166731726602,0.000613326570661599,0.00669124484782735
"1967Q3",4919.392,18.006,5.12666666666667,NA,NA,NA,0,0,0,0,8.50094022461429,2.89070503568629,0.00941628754776325,0.00903771842026657
"1967Q4",4956.477,18.188,5.56333333333333,NA,NA,NA,0,0,0,0,8.50845048509096,2.90076203596276,0.00751026047666947,0.010057000276479
"1968Q1",5057.553,18.395,5.47333333333333,NA,NA,NA,0,0,0,0,8.5286380484729,2.91207888855674,0.0201875633819473,0.0113168525939735
"1968Q2",5142.033,18.609,5.94333333333333,NA,NA,NA,0,0,0,0,8.54520380554153,2.92364533465909,0.0165657570686282,0.0115664461023526
"1968Q3",5181.859,18.817,5.51,NA,NA,NA,0,0,0,0,8.55291915118027,2.93476071656251,0.00771534563874354,0.0111153819034171
