"Time","Agg_gdp","Agg_pce","GS1","ebp","gz_spread","MP_brw","MP_jk","CBI_jk","MP_bs","lgdp","lpce","gdp_growth","inflation","d_GS1","gdp_growth_L1","gdp_growth_L2","gdp_growth_L3","gdp_growth_L4","inflation_L1","inflation_L2","inflation_L3","inflation_L4"
1992-01-01,10168.5073155824,63.641,4.15,0.0537258229045052,1.27945362112547,0,0,0,0,9.22705070497462,4.15325791673394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992-02-01,10216.0391204791,63.814,4.29,0.102915180642386,1.24289986244098,0,0.00014434,0.00442745,0.0331753962966759,9.23171422703933,4.15597260201492,0.00466352206471399,0.00271468528098318,0.14,NA,NA,NA,NA,NA,NA,NA,NA
1992-03-01,10322.8881390535,63.973,4.63,0.0463022569245701,1.16990831039096,0,0,0,0,9.2421188583179,4.15846111934538,0.0104046312785702,0.0024885173304563,0.34,0.00466352206471399,NA,NA,NA,0.00271468528098318,NA,NA,NA
1992-04-01,10314.5939920123,64.183,4.3,0.0382885792647873,1.17550978422313,0,-0.16561977,-0.09331549,-0.193195643146561,9.2413150638012,4.16173837812308,-0.000803794516704315,0.00327725877769947,-0.33,0.0104046312785702,0.00466352206471399,NA,NA,0.0024885173304563,0.00271468528098318,NA,NA
1992-05-01,10285.8796871218,64.273,4.19,0.00534806929986841,1.18438206791408,0,0.00903088,0.00335081,0.0401420546806436,9.23852732950598,4.16313963637067,-0.00278773429521628,0.00140125824759263,-0.109999999999999,-0.000803794516704315,0.0104046312785702,0.00466352206471399,NA,0.00327725877769947,0.0024885173304563,0.00271468528098318,NA
1992-06-01,10439.8668921894,64.323,4.17,0.00405380192978355,1.17271697862683,0,0,0,0,9.25338711156506,4.16391726557406,0.0148597820590801,0.000777629203390973,-0.0200000000000005,-0.00278773429521628,-0.000803794516704315,0.0104046312785702,0.00466352206471399,0.00140125824759263,0.00327725877769947,0.0024885173304563,0.00271468528098318
1992-07-01,10452.6003279417,64.566,3.6,-0.0634255113593245,1.23504083692939,0,-0.04928975,-0.02292631,0.0524009702145686,9.25460606164834,4.16768795644631,0.0012189500832811,0.00377069087224946,-0.57,0.0148597820590801,-0.00278773429521628,-0.000803794516704315,0.0104046312785702,0.000777629203390973,0.00140125824759263,0.00327725877769947,0.0024885173304563
1992-08-01,10425.7702362125,64.625,3.47,0.0818532406677321,1.37994843016658,0,0.00108087,0.00417639,0.00643756762014898,9.25203592750729,4.16860133282859,-0.00257013414105423,0.000913376382282394,-0.13,0.0012189500832811,0.0148597820590801,-0.00278773429521628,-0.000803794516704315,0.00377069087224946,0.000777629203390973,0.00140125824759263,0.00327725877769947
1992-09-01,10468.7364231748,64.73,3.18,0.18045587696983,1.50022509739488,0,-0.00173233,-0.00258281,0.00522022277179058,9.25614861111587,4.17022477255742,0.00411268360858053,0.00162343972882617,-0.29,-0.00257013414105423,0.0012189500832811,0.0148597820590801,-0.00278773429521628,0.000913376382282394,0.00377069087224946,0.000777629203390973,0.00140125824759263
1992-10-01,10525.1446288974,64.979,3.3,0.110121316405894,1.39390245839646,0,0.01279864,-0.0101156,0.0287834920181087,9.26152239991911,4.17406414077197,0.0053737888032348,0.00383936821454878,0.12,0.00411268360858053,-0.00257013414105423,0.0012189500832811,0.0148597820590801,0.00162343972882617,0.000913376382282394,0.00377069087224946,0.000777629203390973
