"","Time","Agg_gdp","Agg_pce","MP_jk","CBI_jk","MP_brw","MP_bs","lgdp","lpce","gdp_growth","inflation"
"53","1960Q1",3517.181,15.842,NA,NA,NA,NA,8.16541509546592,2.76266464104209,0.0222371835003532,0.00316115835096209
"54","1960Q2",3498.246,15.902,NA,NA,NA,NA,8.16001697900631,2.76644488747929,-0.00539811645960775,0.00378024643720387
"55","1960Q3",3515.385,15.965,NA,NA,NA,NA,8.16490432882994,2.77039882616675,0.00488734982363326,0.00395393868745364
"56","1960Q4",3470.278,16.017,NA,NA,NA,NA,8.15198998500562,2.77365065818616,-0.0129143438243222,0.00325183201941348
"57","1961Q1",3493.703,16.044,NA,NA,NA,NA,8.158717484219,2.77533494790781,0.00672749921338145,0.00168428972164758
"58","1961Q2",3553.021,16.097,NA,NA,NA,NA,8.17555350650173,2.77863291922409,0.0168360222827264,0.00329797131628595
"59","1961Q3",3621.252,16.167,NA,NA,NA,NA,8.19457510137889,2.78297212761947,0.0190215948771559,0.00433920839537683
"60","1961Q4",3692.289,16.206,NA,NA,NA,NA,8.21400186991568,2.78538154403853,0.0194267685367908,0.00240941641906423
"61","1962Q1",3758.147,16.266,NA,NA,NA,NA,8.23168129575973,2.78907703974458,0.017679425844058,0.00369549570604999
"62","1962Q2",3792.149,16.328,NA,NA,NA,NA,8.2406881558519,2.79288142550754,0.00900686009216223,0.00380438576296038
"63","1962Q3",3838.776,16.382,NA,NA,NA,NA,8.25290884477019,2.79618317109341,0.0122206889182959,0.00330174558586638
"64","1962Q4",3851.421,16.413,NA,NA,NA,NA,8.25619745009363,2.7980737037498,0.00328860532343356,0.00189053265638828
"65","1963Q1",3893.482,16.467,NA,NA,NA,NA,8.26705915191659,2.80135837823586,0.0108617018229626,0.00328467448606329
"66","1963Q2",3937.183,16.529,NA,NA,NA,NA,8.27822077195644,2.80511641393522,0.0111616200398537,0.00375803569935451
"67","1963Q3",4023.755,16.593,NA,NA,NA,NA,8.29997082523418,2.80898091968065,0.021750053277735,0.00386450574543451
"68","1963Q4",4050.147,16.673,NA,NA,NA,NA,8.30650845573819,2.81379064457832,0.00653763050400791,0.00480972489767106
"69","1964Q1",4135.553,16.744,NA,NA,NA,NA,8.32737633491249,2.8180399851437,0.0208678791743058,0.00424934056537696
